name,date,id
Leiron Kogoya ,2012-04-08,IDN
Mahad Salad Adan ,2012-04-05,SOM
Ahmed Ismail Hassan ,2012-03-31,Bahrain
Ali Ahmed Abdi ,2012-03-04,SOM
Rajesh Mishra ,2012-03-01,IND
Abukar Hassan Mohamoud ,2012-02-28,SOM
Anas al-Tarsha ,2012-02-24,SYR
Rémi Ochlik ,2012-02-22,SYR
Marie Colvin ,2012-02-22,SYR
Rami al-Sayed ,2012-02-21,SYR
Mario Randolfo Marques Lopes ,2012-02-09,BRA
Mazhar Tayyara ,2012-02-04,SYR
Hassan Osman Abdi ,2012-01-28,SOM
Enenche Akogwu ,2012-01-20,NGA
Mukarram Khan Aatif ,2012-01-17,PAK
"Wisut ""Ae"" Tangwittayaporn ",2012-01-12,THA
Gilles Jacquier ,2012-01-11,SYR
Christopher Guarin ,2012-01-05,PHL
Basil al-Sayed ,2011-12-27,SYR
Abdisalan Sheikh Hassan ,2011-12-18,SOM
Gadzhimurad Kamalov ,2011-12-15,RUS
Rafiq Tagi ,2011-11-23,AZE
Ferzat Jarban ,2011-11-19,SYR
Gelson Domingos da Silva ,2011-11-06,BRA
Darío Fernández Jaén ,2011-11-06,PAN
Javed Naseer Rind ,2011-11-01,PAK
Zakariya Isa ,2011-10-22,NGA
Wael Mikhael ,2011-10-09,EGY
Faisal Qureshi ,2011-10-07,PAK
Phamon Phonphanit ,2011-09-24,THA
Hassan al-Wadhaf ,2011-09-24,YEM
Maria Elizabeth Macías Castro ,2011-09-24,MEX
Farhad Taqaddosi ,2011-09-20,AFG
Pedro Alfonso Flores Silva ,2011-09-08,PER
Hadi al-Mahdi ,2011-09-08,IRQ
Noramfaizul Mohd ,2011-09-02,SOM
José Agustín Silvestre de los Santos ,2011-08-02,DOM
Ahmad Omaid Khpalwak ,2011-07-28,AFG
Alwan al-Ghorabi ,2011-06-21,IRQ
Shafiullah Khan ,2011-06-17,PAK
Edinaldo Filgueira ,2011-06-15,BRA
Romeo Olea ,2011-06-13,PHL
Asfandyar Khan ,2011-06-11,PAK
Saleem Shahzad ,2011-05-29,PAK
Nasrullah Khan Afridi ,2011-05-10,PAK
Sylvain Gagnetau Lago ,2011-05-08,CIV
Alfredo Antonio Hurtado Núñez ,2011-04-25,SLV
Chris Hondros ,2011-04-20,LBY
Tim Hetherington ,2011-04-20,LBY
Karim Fakhrawi ,2011-04-12,Bahrain
Luciano Leitão Pedrosa ,2011-04-09,BRA
Zakariya Rashid Hassan al-Ashiri ,2011-04-09,Bahrain
Anton Hammerl ,2011-04-05,LBY
Sabah al-Bazi ,2011-03-29,IRQ
Muammar Khadir Abdelwahad ,2011-03-29,IRQ
Luis Emanuel Ruiz Carrillo ,2011-03-25,MEX
Mohammed al-Nabbous ,2011-03-19,LBY
Jamal al-Sharaabi ,2011-03-18,YEM
Ali Hassan al-Jaber ,2011-03-13,LBY
Noel López Olguín ,2011-03-01,MEX
Mohamed al-Hamdani ,2011-02-24,IRQ
Ahmad Mohamed Mahmoud ,2011-02-04,EGY
Gerardo Ortega ,2011-01-24,PHL
Umesh Rajput ,2011-01-23,IND
Lucas Mebrouk Dolega ,2011-01-17,TUN
Wali Khan Babar ,2011-01-13,PAK
Alfrets Mirulewan ,2010-12-17,IDN
Omar Rasim al-Qaysi ,2010-12-12,IRQ
Pervez Khan ,2010-12-06,PAK
Abdul Wahab ,2010-12-06,PAK
Carlos Alberto Guajardo Romero ,2010-11-05,MEX
Francisco Gomes de Medeiros ,2010-10-18,BRA
Tahrir Kadhim Jawad ,2010-10-04,IRQ
Luis Carlos Santiago ,2010-09-16,MEX
Misri Khan ,2010-09-14,PAK
Paul Kiggundu ,2010-09-11,UGA
Safa al-Din Abdel Hamid ,2010-09-08,IRQ
Riad al-Saray ,2010-09-07,IRQ
Ejaz Raisani ,2010-09-06,PAK
Alberto Graves Chakussanga ,2010-09-05,AGO
Aleh Byabenin ,2010-09-03,BLR
Barkhat Awale ,2010-08-24,SOM
Ridwan Salamun ,2010-08-21,IDN
Assaf Abu Rahal ,2010-08-03,LBN
Ardiansyah Matra'is ,2010-07-30,IDN
Vijay Pratap Singh ,2010-07-20,IND
Sokratis Giolias ,2010-07-19,GRC
Jean-Léonard Rugambage ,2010-06-26,RWA
James P. Hunter ,2010-06-24,AFG
Joselito Agustin ,2010-06-16,PHL
Desidario Camangyan ,2010-06-14,PHL
Ejazul Haq ,2010-05-28,PAK
Fabio Polenghi ,2010-05-19,THA
Ghulam Rasool Birhamani ,2010-05-09,PAK
Sardasht Osman ,2010-05-05,IRQ
Sheikh Nur Mohamed Abkey ,2010-05-04,SOM
Sunday Gyang Bwede ,2010-04-24,NGA
Nathan S. Dabak ,2010-04-24,NGA
Germain Cyrille Ngota Ngota ,2010-04-22,CMR
Azamat Ali Bangash ,2010-04-17,PAK
Malik Arif ,2010-04-16,PAK
Hiro Muramoto ,2010-04-10,THA
Clodomiro Castilla Ospino ,2010-03-19,COL
Nahúm Palacios Arteaga ,2010-03-14,HND
David Meza Montesinos ,2010-03-11,HND
Joseph Hernández Ochoa ,2010-03-01,HND
Muhammad al-Rabou'e ,2010-02-13,YEM
Rupert Hamer ,2010-01-10,AFG
Stanislas Ocloo ,2010-01-09,AGO
Valentín Valdés Espinosa ,2010-01-08,MEX
Michelle Lang ,2009-12-30,AFG
Gennady Pavlyuk (Ibragim Rustambek) ,2009-12-22,KAZ
Cihan Hayırsevener ,2009-12-19,TUR
Abdulkhafar Abdulkadir ,2009-12-03,SOM
Mohamed Amin ,2009-12-03,SOM
Hassan Zubeyr ,2009-12-03,SOM
Henry Araneta ,2009-11-23,PHL
Mark Gilbert Arriola ,2009-11-23,PHL
Rubello Bataluna ,2009-11-23,PHL
Arturo Betia ,2009-11-23,PHL
Romeo Jimmy Cabillo ,2009-11-23,PHL
Marites Cablitas ,2009-11-23,PHL
Hannibal Cachuela ,2009-11-23,PHL
Jepon Cadagdagon ,2009-11-23,PHL
John Caniban ,2009-11-23,PHL
Lea Dalmacio ,2009-11-23,PHL
Noel Decina ,2009-11-23,PHL
Gina Dela Cruz ,2009-11-23,PHL
Jhoy Duhay ,2009-11-23,PHL
Jolito Evardo ,2009-11-23,PHL
Santos Gatchalian ,2009-11-23,PHL
Bienvenido Legarte Jr. ,2009-11-23,PHL
Lindo Lupogan ,2009-11-23,PHL
